sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,hdfs-site-changes.cfg,6,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit-changes.cfg,5,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit.xml,91,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-hadoop-env.sh,24,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-hdfs-security-changes.cfg,10,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-hdfs-security.xml,109,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl-changes.cfg,9,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl.xml,47,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,99,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.properties,80,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.sh,272,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,uninstall.sh,49,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HDFSAccessVerifier.java,35,0,14,0,0,0,75
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HDFSAccessVerifierFactory.java,59,0,33,7,0,1,252
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AuthCodeInjectionJavaAgent.java,32,0,10,3,0,1,75
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HadoopAuthClassTransformer.java,196,0,146,24,0,1,985
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureAccessControlException.java,32,0,8,1,0,1,51
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureFSPermissionChecker.java,321,0,219,46,0,16,1792
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,MANIFEST.MF,1,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,hive-site-changes.cfg,9,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit-changes.cfg,5,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit.xml,90,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-hive-security-changes.cfg,10,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-hive-security.xml,53,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl-changes.cfg,9,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl.xml,47,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,62,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.properties,73,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.sh,235,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,uninstall.sh,54,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureHiveAuthorizer.java,466,0,382,157,0,10,2712
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureHiveAuthorizerBase.java,165,0,116,22,0,20,714
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureHiveAuthorizerFactory.java,18,0,16,1,0,1,152
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XaSecureHiveConstants.java,9,0,7,0,0,0,49
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit-changes.cfg,4,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-audit.xml,85,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-knox-security-changes.cfg,9,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-knox-security.xml,53,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl-changes.cfg,7,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xasecure-policymgr-ssl.xml,33,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,48,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.properties,63,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.sh,187,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,uninstall.sh,54,0,,,0,0,
